feature_name,feature_family,current_shap_rank,economic_interpretation,likely_signal_mechanism,pattern_type,correlated_neighbors,interaction_candidates,leakage_risk,decision_bucket,next_action,notes
beta_63d_to_sector,volatility_risk,1,"Trailing risk regime, sector beta, and volatility scaling.",event_panel_v2_baseline,roughly_monotonic,,realized_vol_21d,medium,leakage_suspect,timing_spot_check,
sec_positive_prob,event_nlp,2,"SEC filing tone, sentiment probability mix, and document intensity.",event_panel_v2_baseline,roughly_monotonic,,"fund_snapshot_is_current_event, log_volume, rel_return_10d",medium,leakage_suspect,timing_spot_check,
rel_return_10d,momentum_returns,3,Short-horizon relative returns and recent price shock behavior.,event_panel_v2_baseline,roughly_monotonic,,sec_positive_prob,medium,leakage_suspect,timing_spot_check,
cash_ratio,fundamentals,4,"Accounting quality, balance-sheet strength, profitability, and growth.",event_panel_v2_baseline,tail_driven,,realized_vol_21d,low,needs_investigation,review_fold_dependence,
log_volume,liquidity_trading,5,"Volume level, abnormal turnover, and trading intensity.",event_panel_v2_baseline,nonlinear_or_noisy,,sec_positive_prob,medium,leakage_suspect,timing_spot_check,
vol_ratio_21d_63d,volatility_risk,6,"Trailing risk regime, sector beta, and volatility scaling.",event_panel_v2_baseline,roughly_monotonic,,,medium,leakage_suspect,timing_spot_check,
realized_vol_21d,volatility_risk,7,"Trailing risk regime, sector beta, and volatility scaling.",event_panel_v2_baseline,roughly_monotonic,,"beta_63d_to_sector, cash_ratio",medium,leakage_suspect,timing_spot_check,
rel_return_5d,momentum_returns,8,Short-horizon relative returns and recent price shock behavior.,event_panel_v2_baseline,tail_driven,,,medium,leakage_suspect,timing_spot_check,
volume_ratio_20d,liquidity_trading,9,"Volume level, abnormal turnover, and trading intensity.",event_panel_v2_baseline,roughly_monotonic,abnormal_volume_flag,abs_return_shock_1d,medium,leakage_suspect,timing_spot_check,
abs_return_shock_1d,momentum_returns,10,Short-horizon relative returns and recent price shock behavior.,event_panel_v2_baseline,roughly_monotonic,,volume_ratio_20d,medium,leakage_suspect,timing_spot_check,
fund_snapshot_is_current_event,timing_context,11,Recency and event/current-snapshot context flags.,event_panel_v2_baseline,,current_filing_fundamentals_available,sec_positive_prob,medium,leakage_suspect,timing_spot_check,
realized_vol_63d,volatility_risk,12,"Trailing risk regime, sector beta, and volatility scaling.",event_panel_v2_baseline,,,,medium,leakage_suspect,timing_spot_check,
days_since_prior_same_event_type,timing_context,13,Recency and event/current-snapshot context flags.,event_panel_v2_baseline,,,,low,test_prune,ablation_or_cluster_test,
sec_negative_prob,event_nlp,14,"SEC filing tone, sentiment probability mix, and document intensity.",event_panel_v2_baseline,,"sec_sentiment_abs, sec_sentiment_score",,medium,leakage_suspect,timing_spot_check,
roe,fundamentals,15,"Accounting quality, balance-sheet strength, profitability, and growth.",event_panel_v2_baseline,,,,low,needs_investigation,review_fold_dependence,
rel_return_21d,momentum_returns,16,Short-horizon relative returns and recent price shock behavior.,event_panel_v2_baseline,,,,medium,leakage_suspect,timing_spot_check,
roa,fundamentals,17,"Accounting quality, balance-sheet strength, profitability, and growth.",event_panel_v2_baseline,,asset_turnover,,low,potential_duplicate,cluster_representative_test,
sec_chunk_count,event_nlp,18,"SEC filing tone, sentiment probability mix, and document intensity.",event_panel_v2_baseline,,sec_log_chunk_count,,medium,leakage_suspect,timing_spot_check,
overnight_gap_1d,momentum_returns,19,Short-horizon relative returns and recent price shock behavior.,event_panel_v2_baseline,,,,medium,leakage_suspect,timing_spot_check,
cfo_to_net_income,fundamentals,20,"Accounting quality, balance-sheet strength, profitability, and growth.",event_panel_v2_baseline,,,,low,needs_investigation,review_fold_dependence,
sec_positive_change_prev,event_nlp,21,"SEC filing tone, sentiment probability mix, and document intensity.",event_panel_v2_baseline,,,,medium,leakage_suspect,timing_spot_check,
debt_to_equity,fundamentals,22,"Accounting quality, balance-sheet strength, profitability, and growth.",event_panel_v2_baseline,,,,low,needs_investigation,review_fold_dependence,
quick_ratio,fundamentals,23,"Accounting quality, balance-sheet strength, profitability, and growth.",event_panel_v2_baseline,,,,low,test_prune,ablation_or_cluster_test,
earnings_growth_qoq,fundamentals,24,"Accounting quality, balance-sheet strength, profitability, and growth.",event_panel_v2_baseline,,,,low,needs_investigation,review_fold_dependence,
sec_negative_change_prev,event_nlp,25,"SEC filing tone, sentiment probability mix, and document intensity.",event_panel_v2_baseline,,sec_sentiment_change_prev,,medium,leakage_suspect,timing_spot_check,
working_capital_to_total_assets,fundamentals,26,"Accounting quality, balance-sheet strength, profitability, and growth.",event_panel_v2_baseline,,,,low,test_prune,ablation_or_cluster_test,
sec_sentiment_score,event_nlp,27,"SEC filing tone, sentiment probability mix, and document intensity.",event_panel_v2_baseline,,"sec_negative_prob, sec_sentiment_abs",,medium,leakage_suspect,timing_spot_check,
sec_sentiment_change_prev,event_nlp,28,"SEC filing tone, sentiment probability mix, and document intensity.",event_panel_v2_baseline,,sec_negative_change_prev,,medium,leakage_suspect,timing_spot_check,
sec_neutral_prob,event_nlp,29,"SEC filing tone, sentiment probability mix, and document intensity.",event_panel_v2_baseline,,,,medium,leakage_suspect,timing_spot_check,
debt_to_assets,fundamentals,30,"Accounting quality, balance-sheet strength, profitability, and growth.",event_panel_v2_baseline,,,,low,test_prune,ablation_or_cluster_test,
current_ratio,fundamentals,31,"Accounting quality, balance-sheet strength, profitability, and growth.",event_panel_v2_baseline,,,,low,test_prune,ablation_or_cluster_test,
days_since_prior_event,timing_context,32,Recency and event/current-snapshot context flags.,event_panel_v2_baseline,,,,low,test_prune,ablation_or_cluster_test,
asset_turnover,fundamentals,33,"Accounting quality, balance-sheet strength, profitability, and growth.",event_panel_v2_baseline,,roa,,low,potential_duplicate,cluster_representative_test,
long_term_debt_ratio,fundamentals,34,"Accounting quality, balance-sheet strength, profitability, and growth.",event_panel_v2_baseline,,,,low,test_prune,ablation_or_cluster_test,
drawdown_21d,momentum_returns,35,Short-horizon relative returns and recent price shock behavior.,event_panel_v2_baseline,,,,medium,leakage_suspect,timing_spot_check,
net_margin,fundamentals,36,"Accounting quality, balance-sheet strength, profitability, and growth.",event_panel_v2_baseline,,operating_margin,,low,potential_duplicate,cluster_representative_test,
growth_quality_profile_score,fundamentals,37,"Accounting quality, balance-sheet strength, profitability, and growth.",event_panel_v2_baseline,,,,low,test_prune,ablation_or_cluster_test,
revenue_growth_qoq,fundamentals,38,"Accounting quality, balance-sheet strength, profitability, and growth.",event_panel_v2_baseline,,,,low,needs_investigation,review_fold_dependence,
return_zscore_21d,momentum_returns,39,Short-horizon relative returns and recent price shock behavior.,event_panel_v2_baseline,,,,medium,leakage_suspect,timing_spot_check,
current_filing_fundamentals_available,timing_context,40,Recency and event/current-snapshot context flags.,event_panel_v2_baseline,,fund_snapshot_is_current_event,,low,potential_duplicate,cluster_representative_test,
operating_margin,fundamentals,41,"Accounting quality, balance-sheet strength, profitability, and growth.",event_panel_v2_baseline,,net_margin,,low,potential_duplicate,cluster_representative_test,
sec_sentiment_abs,event_nlp,42,"SEC filing tone, sentiment probability mix, and document intensity.",event_panel_v2_baseline,,"sec_negative_prob, sec_sentiment_score",,medium,leakage_suspect,timing_spot_check,
sec_log_chunk_count,event_nlp,43,"SEC filing tone, sentiment probability mix, and document intensity.",event_panel_v2_baseline,,sec_chunk_count,,medium,leakage_suspect,timing_spot_check,
overall_financial_health_score,fundamentals,44,"Accounting quality, balance-sheet strength, profitability, and growth.",event_panel_v2_baseline,,,,low,test_prune,ablation_or_cluster_test,
accruals_ratio,fundamentals,45,"Accounting quality, balance-sheet strength, profitability, and growth.",event_panel_v2_baseline,,,,low,test_prune,ablation_or_cluster_test,
liquidity_profile_score,fundamentals,46,"Accounting quality, balance-sheet strength, profitability, and growth.",event_panel_v2_baseline,,,,low,test_prune,ablation_or_cluster_test,
profitability_profile_score,fundamentals,47,"Accounting quality, balance-sheet strength, profitability, and growth.",event_panel_v2_baseline,,,,low,test_prune,ablation_or_cluster_test,
solvency_profile_score,fundamentals,48,"Accounting quality, balance-sheet strength, profitability, and growth.",event_panel_v2_baseline,,,,low,test_prune,ablation_or_cluster_test,
abnormal_volume_flag,liquidity_trading,49,"Volume level, abnormal turnover, and trading intensity.",event_panel_v2_baseline,,volume_ratio_20d,,medium,leakage_suspect,timing_spot_check,
