sample_id,sample_category,ticker,row_date,feature_asof_date,layer1_filing_date,layer1_filing_timestamp_local,layer1_effective_model_date,layer1_timing_source,label_start_date,label_end_date,forward_fill_crosses_invalid_boundary,sentiment_filing_date,sentiment_filing_timestamp_local,sentiment_effective_model_date,sentiment_timing_bucket,sentiment_timing_source,benchmark_sector_timing,split_bucket,pass_fail,pass_fail_notes
1,same_day_pre_market_or_market_hours,MDLZ,2015-07-31,2015-07-31,2015-07-31,2015-07-31 11:28:20-04:00,2015-07-31,sec_metadata,2015-07-31,2015-08-07,False,,,,,,Label benchmark is leave-one-out same-date cross-section over the 5-day forward window; Layer 2 sector controls are leave-one-out same-date cross-sections built only from trailing price windows ending on row_date.,train,PASS,Same-day availability is allowed because the matched filing timestamp is before or during the session.
2,same_day_pre_market_or_market_hours,ADM,2015-08-04,2015-08-04,2015-08-04,2015-08-04 12:31:30-04:00,2015-08-04,sec_metadata,2015-08-04,2015-08-11,False,,,,,,Label benchmark is leave-one-out same-date cross-section over the 5-day forward window; Layer 2 sector controls are leave-one-out same-date cross-sections built only from trailing price windows ending on row_date.,train,PASS,Same-day availability is allowed because the matched filing timestamp is before or during the session.
3,layer1_after_close_shift,GIS,2015-12-18,2015-12-18,2015-12-17,2015-12-17 16:59:49-05:00,2015-12-18,sec_metadata,2015-12-18,2015-12-28,False,2015-12-17,2015-12-17 16:59:49-05:00,2015-12-18,after_close,sec_metadata,Label benchmark is leave-one-out same-date cross-section over the 5-day forward window; Layer 2 sector controls are leave-one-out same-date cross-sections built only from trailing price windows ending on row_date.,train,PASS,Layer 1 fundamentals first appear on the next tradable date after an after-close filing.
4,same_day_pre_market_or_market_hours,MNST,2016-02-29,2016-02-29,2016-02-29,2016-02-29 10:09:11-05:00,2016-02-29,sec_metadata,2016-02-29,2016-03-07,False,,,,,,Label benchmark is leave-one-out same-date cross-section over the 5-day forward window; Layer 2 sector controls are leave-one-out same-date cross-sections built only from trailing price windows ending on row_date.,train,PASS,Same-day availability is allowed because the matched filing timestamp is before or during the session.
5,same_day_pre_market_or_market_hours,BF-B,2016-03-02,2016-03-02,2016-03-02,2016-03-02 08:18:32-05:00,2016-03-02,sec_metadata,2016-03-02,2016-03-09,False,,,,,,Label benchmark is leave-one-out same-date cross-section over the 5-day forward window; Layer 2 sector controls are leave-one-out same-date cross-sections built only from trailing price windows ending on row_date.,train,PASS,Same-day availability is allowed because the matched filing timestamp is before or during the session.
6,sentiment_after_close_shift,GIS,2016-03-24,2016-03-24,2015-12-17,2015-12-17 16:59:49-05:00,2015-12-18,sec_metadata,2016-03-24,2016-04-01,False,2016-03-23,2016-03-23 16:39:14-04:00,2016-03-24,after_close,sec_metadata,Label benchmark is leave-one-out same-date cross-section over the 5-day forward window; Layer 2 sector controls are leave-one-out same-date cross-sections built only from trailing price windows ending on row_date.,train,PASS,SEC sentiment first appears on the next tradable date after an after-close filing.
7,layer1_after_close_shift,PEP,2016-04-19,2016-04-19,2016-04-18,2016-04-18 16:09:39-04:00,2016-04-19,sec_metadata,2016-04-19,2016-04-26,False,2016-04-18,2016-04-18 16:09:39-04:00,2016-04-19,after_close,sec_metadata,Label benchmark is leave-one-out same-date cross-section over the 5-day forward window; Layer 2 sector controls are leave-one-out same-date cross-sections built only from trailing price windows ending on row_date.,train,PASS,Layer 1 fundamentals first appear on the next tradable date after an after-close filing.
8,sentiment_after_close_shift,SJM,2016-06-22,2016-06-22,2016-03-03,2016-03-03 08:12:32-05:00,2016-03-03,sec_metadata,2016-06-22,2016-06-29,False,2016-06-21,2016-06-21 16:28:03-04:00,2016-06-22,after_close,sec_metadata,Label benchmark is leave-one-out same-date cross-section over the 5-day forward window; Layer 2 sector controls are leave-one-out same-date cross-sections built only from trailing price windows ending on row_date.,train,PASS,SEC sentiment first appears on the next tradable date after an after-close filing.
9,layer1_after_close_shift,GIS,2016-07-01,2016-07-01,2016-06-30,2016-06-30 17:01:08-04:00,2016-07-01,sec_metadata,2016-07-01,2016-07-11,False,2016-06-30,2016-06-30 17:01:08-04:00,2016-07-01,after_close,sec_metadata,Label benchmark is leave-one-out same-date cross-section over the 5-day forward window; Layer 2 sector controls are leave-one-out same-date cross-sections built only from trailing price windows ending on row_date.,train,PASS,Layer 1 fundamentals first appear on the next tradable date after an after-close filing.
10,layer1_after_close_shift,PEP,2016-07-08,2016-07-08,2016-07-07,2016-07-07 16:20:31-04:00,2016-07-08,sec_metadata,2016-07-08,2016-07-15,False,2016-07-07,2016-07-07 16:20:31-04:00,2016-07-08,after_close,sec_metadata,Label benchmark is leave-one-out same-date cross-section over the 5-day forward window; Layer 2 sector controls are leave-one-out same-date cross-sections built only from trailing price windows ending on row_date.,train,PASS,Layer 1 fundamentals first appear on the next tradable date after an after-close filing.
11,sentiment_after_close_shift,MDLZ,2016-07-28,2016-07-28,2015-07-31,2015-07-31 11:28:20-04:00,2015-07-31,sec_metadata,2016-07-28,2016-08-04,False,2016-07-27,2016-07-27 16:22:42-04:00,2016-07-28,after_close,sec_metadata,Label benchmark is leave-one-out same-date cross-section over the 5-day forward window; Layer 2 sector controls are leave-one-out same-date cross-sections built only from trailing price windows ending on row_date.,train,PASS,SEC sentiment first appears on the next tradable date after an after-close filing.
12,sentiment_after_close_shift,PG,2016-08-10,2016-08-10,2016-08-09,2016-08-09 16:03:15-04:00,2016-08-10,sec_metadata,2016-08-10,2016-08-17,False,2016-08-09,2016-08-09 16:03:15-04:00,2016-08-10,after_close,sec_metadata,Label benchmark is leave-one-out same-date cross-section over the 5-day forward window; Layer 2 sector controls are leave-one-out same-date cross-sections built only from trailing price windows ending on row_date.,train,PASS,SEC sentiment first appears on the next tradable date after an after-close filing.
13,conservative_fallback,KHC,2017-11-08,2017-11-08,2017-11-07,,2017-11-08,conservative_next_tradable_day,2017-11-08,2017-11-15,False,2017-11-07,2017-11-06 19:44:12-05:00,2017-11-07,after_close,sec_metadata,Label benchmark is leave-one-out same-date cross-section over the 5-day forward window; Layer 2 sector controls are leave-one-out same-date cross-sections built only from trailing price windows ending on row_date.,train,PASS,"No exact SEC timing match was available, so the pipeline uses a next-tradable-date fallback."
14,conservative_fallback,CL,2018-02-22,2018-02-22,2018-02-21,,2018-02-22,conservative_next_tradable_day,2018-02-22,2018-03-01,False,2018-02-15,2018-02-15 14:33:07-05:00,2018-02-15,market_hours,sec_metadata,Label benchmark is leave-one-out same-date cross-section over the 5-day forward window; Layer 2 sector controls are leave-one-out same-date cross-sections built only from trailing price windows ending on row_date.,train,PASS,"No exact SEC timing match was available, so the pipeline uses a next-tradable-date fallback."
15,conservative_fallback,DLTR,2018-03-27,2018-03-27,2018-03-26,,2018-03-27,conservative_next_tradable_day,2018-03-27,2018-04-04,False,2018-03-16,,2018-03-27,,conservative_next_tradable_day,Label benchmark is leave-one-out same-date cross-section over the 5-day forward window; Layer 2 sector controls are leave-one-out same-date cross-sections built only from trailing price windows ending on row_date.,train,PASS,"No exact SEC timing match was available, so the pipeline uses a next-tradable-date fallback."
16,holdout_random,KR,2024-06-12,2024-06-12,2024-04-02,2024-04-02 12:15:17-04:00,2024-04-02,sec_metadata,2024-06-12,2024-06-20,False,2024-04-02,2024-04-02 12:15:17-04:00,2024-04-02,market_hours,sec_metadata,Label benchmark is leave-one-out same-date cross-section over the 5-day forward window; Layer 2 sector controls are leave-one-out same-date cross-sections built only from trailing price windows ending on row_date.,2024_holdout,PASS,Holdout spot-check row from 2024; timing and label window were checked manually.
17,holdout_random,KO,2024-06-24,2024-06-24,2024-02-20,2024-02-20 13:21:24-05:00,2024-02-20,sec_metadata,2024-06-24,2024-07-01,False,2024-05-02,2024-05-02 13:52:06-04:00,2024-05-02,market_hours,sec_metadata,Label benchmark is leave-one-out same-date cross-section over the 5-day forward window; Layer 2 sector controls are leave-one-out same-date cross-sections built only from trailing price windows ending on row_date.,2024_holdout,PASS,Holdout spot-check row from 2024; timing and label window were checked manually.
18,holdout_random,PEP,2024-08-14,2024-08-14,2024-07-11,2024-07-10 17:52:44-04:00,2024-07-11,sec_metadata,2024-08-14,2024-08-21,False,2024-07-11,2024-07-10 17:52:44-04:00,2024-07-11,after_close,sec_metadata,Label benchmark is leave-one-out same-date cross-section over the 5-day forward window; Layer 2 sector controls are leave-one-out same-date cross-sections built only from trailing price windows ending on row_date.,2024_holdout,PASS,Holdout spot-check row from 2024; timing and label window were checked manually.
