threshold,row_count,accuracy,auc_roc,f1,precision,recall,log_loss,positive_prediction_rate,true_class_0_rate,true_class_1_rate,predicted_class_0_rate,predicted_class_1_rate,confusion_matrix,rank_ic_spearman,scenario,model_name,feature_count,features,xgboost_backend,auc_delta_vs_baseline,log_loss_delta_vs_baseline
0.5,137,0.5693430656934306,0.5387894288150042,0.5815602836879432,0.5616438356164384,0.6029411764705882,0.7473852396157402,0.5328467153284672,0.5036496350364963,0.49635036496350365,0.46715328467153283,0.5328467153284672,"[[37, 32], [27, 41]]",0.09016278679037466,baseline,xgboost,49,"current_ratio, quick_ratio, cash_ratio, working_capital_to_total_assets, debt_to_equity, debt_to_assets, long_term_debt_ratio, operating_margin, net_margin, roa, roe, asset_turnover, revenue_growth_qoq, earnings_growth_qoq, cfo_to_net_income, accruals_ratio, liquidity_profile_score, solvency_profile_score, profitability_profile_score, growth_quality_profile_score, overall_financial_health_score, rel_return_5d, rel_return_10d, rel_return_21d, realized_vol_21d, realized_vol_63d, vol_ratio_21d_63d, beta_63d_to_sector, overnight_gap_1d, abs_return_shock_1d, drawdown_21d, return_zscore_21d, volume_ratio_20d, log_volume, abnormal_volume_flag, sec_sentiment_score, sec_positive_prob, sec_negative_prob, sec_neutral_prob, sec_sentiment_abs, sec_sentiment_change_prev, sec_positive_change_prev, sec_negative_change_prev, sec_chunk_count, sec_log_chunk_count, days_since_prior_event, days_since_prior_same_event_type, current_filing_fundamentals_available, fund_snapshot_is_current_event",cpu,0.0,0.0
0.5,137,0.4744525547445255,0.48913043478260865,0.47058823529411764,0.47058823529411764,0.47058823529411764,0.7607243562700796,0.49635036496350365,0.5036496350364963,0.49635036496350365,0.5036496350364963,0.49635036496350365,"[[33, 36], [36, 32]]",-0.04617115014841226,drop_beta_63d_to_sector,xgboost,48,"current_ratio, quick_ratio, cash_ratio, working_capital_to_total_assets, debt_to_equity, debt_to_assets, long_term_debt_ratio, operating_margin, net_margin, roa, roe, asset_turnover, revenue_growth_qoq, earnings_growth_qoq, cfo_to_net_income, accruals_ratio, liquidity_profile_score, solvency_profile_score, profitability_profile_score, growth_quality_profile_score, overall_financial_health_score, rel_return_5d, rel_return_10d, rel_return_21d, realized_vol_21d, realized_vol_63d, vol_ratio_21d_63d, overnight_gap_1d, abs_return_shock_1d, drawdown_21d, return_zscore_21d, volume_ratio_20d, log_volume, abnormal_volume_flag, sec_sentiment_score, sec_positive_prob, sec_negative_prob, sec_neutral_prob, sec_sentiment_abs, sec_sentiment_change_prev, sec_positive_change_prev, sec_negative_change_prev, sec_chunk_count, sec_log_chunk_count, days_since_prior_event, days_since_prior_same_event_type, current_filing_fundamentals_available, fund_snapshot_is_current_event",cpu,-0.0496589940323956,0.0133391166543394
0.5,137,0.5547445255474452,0.5138533674339301,0.5906040268456376,0.5432098765432098,0.6470588235294118,0.7681112771546457,0.5912408759124088,0.5036496350364963,0.49635036496350365,0.4087591240875912,0.5912408759124088,"[[32, 37], [24, 44]]",0.038344503145593366,drop_cash_ratio,xgboost,48,"current_ratio, quick_ratio, working_capital_to_total_assets, debt_to_equity, debt_to_assets, long_term_debt_ratio, operating_margin, net_margin, roa, roe, asset_turnover, revenue_growth_qoq, earnings_growth_qoq, cfo_to_net_income, accruals_ratio, liquidity_profile_score, solvency_profile_score, profitability_profile_score, growth_quality_profile_score, overall_financial_health_score, rel_return_5d, rel_return_10d, rel_return_21d, realized_vol_21d, realized_vol_63d, vol_ratio_21d_63d, beta_63d_to_sector, overnight_gap_1d, abs_return_shock_1d, drawdown_21d, return_zscore_21d, volume_ratio_20d, log_volume, abnormal_volume_flag, sec_sentiment_score, sec_positive_prob, sec_negative_prob, sec_neutral_prob, sec_sentiment_abs, sec_sentiment_change_prev, sec_positive_change_prev, sec_negative_change_prev, sec_chunk_count, sec_log_chunk_count, days_since_prior_event, days_since_prior_same_event_type, current_filing_fundamentals_available, fund_snapshot_is_current_event",cpu,-0.02493606138107418,0.02072603753890545
0.5,137,0.4744525547445255,0.5023444160272804,0.4782608695652174,0.4714285714285714,0.4852941176470588,0.7561290239145824,0.5109489051094891,0.5036496350364963,0.49635036496350365,0.4890510948905109,0.5109489051094891,"[[32, 37], [35, 33]]",0.02621483375959079,drop_log_volume,xgboost,48,"current_ratio, quick_ratio, cash_ratio, working_capital_to_total_assets, debt_to_equity, debt_to_assets, long_term_debt_ratio, operating_margin, net_margin, roa, roe, asset_turnover, revenue_growth_qoq, earnings_growth_qoq, cfo_to_net_income, accruals_ratio, liquidity_profile_score, solvency_profile_score, profitability_profile_score, growth_quality_profile_score, overall_financial_health_score, rel_return_5d, rel_return_10d, rel_return_21d, realized_vol_21d, realized_vol_63d, vol_ratio_21d_63d, beta_63d_to_sector, overnight_gap_1d, abs_return_shock_1d, drawdown_21d, return_zscore_21d, volume_ratio_20d, abnormal_volume_flag, sec_sentiment_score, sec_positive_prob, sec_negative_prob, sec_neutral_prob, sec_sentiment_abs, sec_sentiment_change_prev, sec_positive_change_prev, sec_negative_change_prev, sec_chunk_count, sec_log_chunk_count, days_since_prior_event, days_since_prior_same_event_type, current_filing_fundamentals_available, fund_snapshot_is_current_event",cpu,-0.03644501278772383,0.00874378429884215
0.5,137,0.5474452554744526,0.5505115089514067,0.5753424657534246,0.5384615384615384,0.6176470588235294,0.7429046836463833,0.5693430656934306,0.5036496350364963,0.49635036496350365,0.43065693430656937,0.5693430656934306,"[[33, 36], [26, 42]]",0.10010827561745103,drop_rel_return_10d,xgboost,48,"current_ratio, quick_ratio, cash_ratio, working_capital_to_total_assets, debt_to_equity, debt_to_assets, long_term_debt_ratio, operating_margin, net_margin, roa, roe, asset_turnover, revenue_growth_qoq, earnings_growth_qoq, cfo_to_net_income, accruals_ratio, liquidity_profile_score, solvency_profile_score, profitability_profile_score, growth_quality_profile_score, overall_financial_health_score, rel_return_5d, rel_return_21d, realized_vol_21d, realized_vol_63d, vol_ratio_21d_63d, beta_63d_to_sector, overnight_gap_1d, abs_return_shock_1d, drawdown_21d, return_zscore_21d, volume_ratio_20d, log_volume, abnormal_volume_flag, sec_sentiment_score, sec_positive_prob, sec_negative_prob, sec_neutral_prob, sec_sentiment_abs, sec_sentiment_change_prev, sec_positive_change_prev, sec_negative_change_prev, sec_chunk_count, sec_log_chunk_count, days_since_prior_event, days_since_prior_same_event_type, current_filing_fundamentals_available, fund_snapshot_is_current_event",cpu,0.011722080136402413,-0.004480555969356925
0.5,137,0.5328467153284672,0.5134271099744245,0.5555555555555556,0.5263157894736842,0.5882352941176471,0.75991443777457,0.5547445255474452,0.5036496350364963,0.49635036496350365,0.44525547445255476,0.5547445255474452,"[[33, 36], [28, 40]]",0.00319693094629156,drop_sec_positive_prob,xgboost,48,"current_ratio, quick_ratio, cash_ratio, working_capital_to_total_assets, debt_to_equity, debt_to_assets, long_term_debt_ratio, operating_margin, net_margin, roa, roe, asset_turnover, revenue_growth_qoq, earnings_growth_qoq, cfo_to_net_income, accruals_ratio, liquidity_profile_score, solvency_profile_score, profitability_profile_score, growth_quality_profile_score, overall_financial_health_score, rel_return_5d, rel_return_10d, rel_return_21d, realized_vol_21d, realized_vol_63d, vol_ratio_21d_63d, beta_63d_to_sector, overnight_gap_1d, abs_return_shock_1d, drawdown_21d, return_zscore_21d, volume_ratio_20d, log_volume, abnormal_volume_flag, sec_sentiment_score, sec_negative_prob, sec_neutral_prob, sec_sentiment_abs, sec_sentiment_change_prev, sec_positive_change_prev, sec_negative_change_prev, sec_chunk_count, sec_log_chunk_count, days_since_prior_event, days_since_prior_same_event_type, current_filing_fundamentals_available, fund_snapshot_is_current_event",cpu,-0.025362318840579712,0.012529198158829802
0.5,137,0.46715328467153283,0.4597186700767263,0.46715328467153283,0.463768115942029,0.47058823529411764,0.7928218616892685,0.5036496350364964,0.5036496350364963,0.49635036496350365,0.4963503649635036,0.5036496350364964,"[[32, 37], [36, 32]]",-0.1053307073384733,drop_top_3_shap,xgboost,46,"current_ratio, quick_ratio, cash_ratio, working_capital_to_total_assets, debt_to_equity, debt_to_assets, long_term_debt_ratio, operating_margin, net_margin, roa, roe, asset_turnover, revenue_growth_qoq, earnings_growth_qoq, cfo_to_net_income, accruals_ratio, liquidity_profile_score, solvency_profile_score, profitability_profile_score, growth_quality_profile_score, overall_financial_health_score, rel_return_5d, rel_return_21d, realized_vol_21d, realized_vol_63d, vol_ratio_21d_63d, overnight_gap_1d, abs_return_shock_1d, drawdown_21d, return_zscore_21d, volume_ratio_20d, log_volume, abnormal_volume_flag, sec_sentiment_score, sec_negative_prob, sec_neutral_prob, sec_sentiment_abs, sec_sentiment_change_prev, sec_positive_change_prev, sec_negative_change_prev, sec_chunk_count, sec_log_chunk_count, days_since_prior_event, days_since_prior_same_event_type, current_filing_fundamentals_available, fund_snapshot_is_current_event",cpu,-0.07907075873827796,0.04543662207352828
0.5,137,0.48905109489051096,0.4605711849957374,0.5,0.4861111111111111,0.5147058823529411,0.7873418075508957,0.5255474452554745,0.5036496350364963,0.49635036496350365,0.4744525547445255,0.5255474452554745,"[[32, 37], [33, 35]]",-0.0919829372561465,drop_top_5_shap,xgboost,44,"current_ratio, quick_ratio, working_capital_to_total_assets, debt_to_equity, debt_to_assets, long_term_debt_ratio, operating_margin, net_margin, roa, roe, asset_turnover, revenue_growth_qoq, earnings_growth_qoq, cfo_to_net_income, accruals_ratio, liquidity_profile_score, solvency_profile_score, profitability_profile_score, growth_quality_profile_score, overall_financial_health_score, rel_return_5d, rel_return_21d, realized_vol_21d, realized_vol_63d, vol_ratio_21d_63d, overnight_gap_1d, abs_return_shock_1d, drawdown_21d, return_zscore_21d, volume_ratio_20d, abnormal_volume_flag, sec_sentiment_score, sec_negative_prob, sec_neutral_prob, sec_sentiment_abs, sec_sentiment_change_prev, sec_positive_change_prev, sec_negative_change_prev, sec_chunk_count, sec_log_chunk_count, days_since_prior_event, days_since_prior_same_event_type, current_filing_fundamentals_available, fund_snapshot_is_current_event",cpu,-0.07821824381926684,0.03995656793515545
0.5,137,0.5620437956204379,0.5398550724637682,0.6052631578947368,0.5476190476190477,0.6764705882352942,0.7370081485143348,0.6131386861313869,0.5036496350364963,0.49635036496350365,0.3868613138686131,0.6131386861313869,"[[31, 38], [22, 46]]",0.08903336009110087,no_availability_flags,xgboost,47,"current_ratio, quick_ratio, cash_ratio, working_capital_to_total_assets, debt_to_equity, debt_to_assets, long_term_debt_ratio, operating_margin, net_margin, roa, roe, asset_turnover, revenue_growth_qoq, earnings_growth_qoq, cfo_to_net_income, accruals_ratio, liquidity_profile_score, solvency_profile_score, profitability_profile_score, growth_quality_profile_score, overall_financial_health_score, rel_return_5d, rel_return_10d, rel_return_21d, realized_vol_21d, realized_vol_63d, vol_ratio_21d_63d, beta_63d_to_sector, overnight_gap_1d, abs_return_shock_1d, drawdown_21d, return_zscore_21d, volume_ratio_20d, log_volume, abnormal_volume_flag, sec_sentiment_score, sec_positive_prob, sec_negative_prob, sec_neutral_prob, sec_sentiment_abs, sec_sentiment_change_prev, sec_positive_change_prev, sec_negative_change_prev, sec_chunk_count, sec_log_chunk_count, days_since_prior_event, days_since_prior_same_event_type",cpu,0.0010656436487639365,-0.010377091101405389
0.5,137,0.5328467153284672,0.5366581415174766,0.5675675675675675,0.525,0.6176470588235294,0.7304759673791555,0.583941605839416,0.5036496350364963,0.49635036496350365,0.416058394160584,0.583941605839416,"[[31, 38], [26, 42]]",0.048219986185524664,price_volume_only,xgboost,14,"rel_return_5d, rel_return_10d, rel_return_21d, realized_vol_21d, realized_vol_63d, vol_ratio_21d_63d, beta_63d_to_sector, overnight_gap_1d, abs_return_shock_1d, drawdown_21d, return_zscore_21d, volume_ratio_20d, log_volume, abnormal_volume_flag",cpu,-0.002131287297527651,-0.01690927223658467
0.5,137,0.4233576642335766,0.40984654731457804,0.4768211920529801,0.43373493975903615,0.5294117647058824,0.8208534863450494,0.6058394160583942,0.5036496350364963,0.49635036496350365,0.3941605839416058,0.6058394160583942,"[[22, 47], [32, 36]]",-0.11700300558179476,sentiment_only,xgboost,10,"sec_sentiment_score, sec_positive_prob, sec_negative_prob, sec_neutral_prob, sec_sentiment_abs, sec_sentiment_change_prev, sec_positive_change_prev, sec_negative_change_prev, sec_chunk_count, sec_log_chunk_count",cpu,-0.1289428815004262,0.07346824672930918
0.5,137,0.5766423357664233,0.5788576300085252,0.5538461538461539,0.5806451612903226,0.5294117647058824,0.7285675157116877,0.45255474452554745,0.5036496350364963,0.49635036496350365,0.5474452554744526,0.45255474452554745,"[[43, 26], [32, 36]]",0.14931767692795936,top_10_shap_only,xgboost,10,"beta_63d_to_sector, sec_positive_prob, rel_return_10d, cash_ratio, log_volume, vol_ratio_21d_63d, realized_vol_21d, rel_return_5d, volume_ratio_20d, abs_return_shock_1d",cpu,0.04006820119352095,-0.018817723904052563
