benchmark_name,panel_name,label_variant,model_name,fold_label,evaluation_role,train_start_date,train_end_date,validation_start_date,validation_end_date,train_row_count,validation_row_count,purged_date_count,overlap_purge_date_count,embargo_date_count,train_positive_rate,validation_positive_rate,auc,f1,log_loss,calibration_score,worst_fold_auc
core_no_market,quarterly_phase8_core_no_market,event_v2_21d_excess_threshold,random_forest,fold_1,validation,2015-07-31,2019-01-24,2019-04-25,2020-03-12,139,65,25,20,5,0.6115107913669064,0.4769230769230769,0.5664136622390892,0.5507246376811594,0.6886172651342602,,0.4651515151515151
core_no_market,quarterly_phase8_core_no_market,event_v2_21d_excess_threshold,random_forest,fold_2,validation,2015-07-31,2019-11-27,2020-03-19,2021-03-03,200,74,25,20,5,0.605,0.4054054054054054,0.4651515151515151,0.3728813559322034,0.7192970966558296,,0.4651515151515151
core_no_market,quarterly_phase8_core_no_market,event_v2_21d_excess_threshold,random_forest,fold_3,validation,2015-07-31,2020-11-16,2021-03-10,2022-02-18,271,57,25,20,5,0.5535055350553506,0.4210526315789473,0.5277777777777777,0.4897959183673469,0.6923439361882212,,0.4651515151515151
core_no_market,quarterly_phase8_core_no_market,event_v2_21d_excess_threshold,random_forest,fold_4,validation,2015-07-31,2021-10-28,2022-02-22,2023-02-06,331,63,25,20,5,0.5347432024169184,0.6031746031746031,0.488421052631579,0.547945205479452,0.7031607913101557,,0.4651515151515151
core_no_market,quarterly_phase8_core_no_market,event_v2_21d_excess_threshold,random_forest,fold_5,validation,2015-07-31,2022-10-20,2023-02-09,2023-12-21,394,60,25,20,5,0.5355329949238579,0.5833333333333334,0.5154285714285713,0.5714285714285714,0.7011799154180319,,0.4651515151515151
core_no_market,quarterly_phase8_core_no_market,event_v2_21d_excess_threshold,random_forest,holdout,holdout_eval,2015-07-31,2023-08-30,2024-01-04,2024-12-19,453,66,25,20,5,0.5342163355408388,0.5757575757575758,0.5291353383458647,0.4761904761904761,0.7018256849501474,,0.4651515151515151
generic_market_only,quarterly_phase8_generic_market_only,event_v2_21d_excess_threshold,logistic_regression,fold_1,validation,2015-07-31,2019-01-24,2019-04-25,2020-03-12,139,65,25,20,5,0.6115107913669064,0.4769230769230769,0.5749525616698292,0.6031746031746031,1.182570224200947,,0.4787878787878787
generic_market_only,quarterly_phase8_generic_market_only,event_v2_21d_excess_threshold,logistic_regression,fold_2,validation,2015-07-31,2019-11-27,2020-03-19,2021-03-03,200,74,25,20,5,0.605,0.4054054054054054,0.4787878787878787,0.4411764705882353,1.2801760950371477,,0.4787878787878787
generic_market_only,quarterly_phase8_generic_market_only,event_v2_21d_excess_threshold,logistic_regression,fold_3,validation,2015-07-31,2020-11-16,2021-03-10,2022-02-18,271,57,25,20,5,0.5535055350553506,0.4210526315789473,0.6148989898989898,0.4782608695652174,0.9665346406880202,,0.4787878787878787
generic_market_only,quarterly_phase8_generic_market_only,event_v2_21d_excess_threshold,logistic_regression,fold_4,validation,2015-07-31,2021-10-28,2022-02-22,2023-02-06,331,63,25,20,5,0.5347432024169184,0.6031746031746031,0.5873684210526315,0.6486486486486487,1.3629897377868083,,0.4787878787878787
generic_market_only,quarterly_phase8_generic_market_only,event_v2_21d_excess_threshold,logistic_regression,fold_5,validation,2015-07-31,2022-10-20,2023-02-09,2023-12-21,394,60,25,20,5,0.5355329949238579,0.5833333333333334,0.5702857142857143,0.5714285714285714,1.0833781209898503,,0.4787878787878787
generic_market_only,quarterly_phase8_generic_market_only,event_v2_21d_excess_threshold,logistic_regression,holdout,holdout_eval,2015-07-31,2023-08-30,2024-01-04,2024-12-19,453,66,25,20,5,0.5342163355408388,0.5757575757575758,0.424812030075188,0.547945205479452,1.4215357946696998,,0.4787878787878787
event_aware_market_only,quarterly_phase8_event_aware_market_only,event_v2_21d_excess_threshold,logistic_regression,fold_1,validation,2015-07-31,2019-01-24,2019-04-25,2020-03-12,139,65,25,20,5,0.6115107913669064,0.4769230769230769,0.5445920303605314,0.6060606060606061,1.2507728833239622,,0.4787878787878787
event_aware_market_only,quarterly_phase8_event_aware_market_only,event_v2_21d_excess_threshold,logistic_regression,fold_2,validation,2015-07-31,2019-11-27,2020-03-19,2021-03-03,200,74,25,20,5,0.605,0.4054054054054054,0.4787878787878787,0.4,1.2953869966819571,,0.4787878787878787
event_aware_market_only,quarterly_phase8_event_aware_market_only,event_v2_21d_excess_threshold,logistic_regression,fold_3,validation,2015-07-31,2020-11-16,2021-03-10,2022-02-18,271,57,25,20,5,0.5535055350553506,0.4210526315789473,0.6452020202020202,0.5777777777777777,0.8490455666840152,,0.4787878787878787
event_aware_market_only,quarterly_phase8_event_aware_market_only,event_v2_21d_excess_threshold,logistic_regression,fold_4,validation,2015-07-31,2021-10-28,2022-02-22,2023-02-06,331,63,25,20,5,0.5347432024169184,0.6031746031746031,0.6021052631578947,0.6493506493506493,1.1877190872723171,,0.4787878787878787
event_aware_market_only,quarterly_phase8_event_aware_market_only,event_v2_21d_excess_threshold,logistic_regression,fold_5,validation,2015-07-31,2022-10-20,2023-02-09,2023-12-21,394,60,25,20,5,0.5355329949238579,0.5833333333333334,0.6194285714285714,0.6363636363636364,1.0269959482610935,,0.4787878787878787
event_aware_market_only,quarterly_phase8_event_aware_market_only,event_v2_21d_excess_threshold,logistic_regression,holdout,holdout_eval,2015-07-31,2023-08-30,2024-01-04,2024-12-19,453,66,25,20,5,0.5342163355408388,0.5757575757575758,0.4172932330827067,0.56,1.4408761734587396,,0.4787878787878787
generic_and_event_aware_market,quarterly_phase8_generic_and_event_aware_market,event_v2_21d_excess_threshold,logistic_regression,fold_1,validation,2015-07-31,2019-01-24,2019-04-25,2020-03-12,139,65,25,20,5,0.6115107913669064,0.4769230769230769,0.5702087286527513,0.5846153846153846,1.3666157155825076,,0.4590909090909091
generic_and_event_aware_market,quarterly_phase8_generic_and_event_aware_market,event_v2_21d_excess_threshold,logistic_regression,fold_2,validation,2015-07-31,2019-11-27,2020-03-19,2021-03-03,200,74,25,20,5,0.605,0.4054054054054054,0.4590909090909091,0.4,1.353914063875504,,0.4590909090909091
generic_and_event_aware_market,quarterly_phase8_generic_and_event_aware_market,event_v2_21d_excess_threshold,logistic_regression,fold_3,validation,2015-07-31,2020-11-16,2021-03-10,2022-02-18,271,57,25,20,5,0.5535055350553506,0.4210526315789473,0.5732323232323232,0.5,1.0390682052023954,,0.4590909090909091
generic_and_event_aware_market,quarterly_phase8_generic_and_event_aware_market,event_v2_21d_excess_threshold,logistic_regression,fold_4,validation,2015-07-31,2021-10-28,2022-02-22,2023-02-06,331,63,25,20,5,0.5347432024169184,0.6031746031746031,0.5863157894736842,0.6216216216216216,1.3631326868380602,,0.4590909090909091
generic_and_event_aware_market,quarterly_phase8_generic_and_event_aware_market,event_v2_21d_excess_threshold,logistic_regression,fold_5,validation,2015-07-31,2022-10-20,2023-02-09,2023-12-21,394,60,25,20,5,0.5355329949238579,0.5833333333333334,0.576,0.6060606060606061,1.1736341550682057,,0.4590909090909091
generic_and_event_aware_market,quarterly_phase8_generic_and_event_aware_market,event_v2_21d_excess_threshold,logistic_regression,holdout,holdout_eval,2015-07-31,2023-08-30,2024-01-04,2024-12-19,453,66,25,20,5,0.5342163355408388,0.5757575757575758,0.4060150375939849,0.5789473684210527,1.489435790112784,,0.4590909090909091
